---- Opened the serial port COM8 ----
4 41 c a f0 0 0 0  rmp 700.0
4 41 c b 4 0 0 0  rmp 705.0
4 41 c a e6 0 0 0  rmp 697.5
4 41 c b 6 0 0 0  rmp 705.5
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a e8 0 0 0  rmp 698.0
4 41 c a f8 0 0 0  rmp 702.0
4 41 c f 4a 0 0 0  rmp 978.5
4 41 c 1a ac 0 0 0  rmp 1707.0
4 41 c 13 58 0 0 0  rmp 1238.0
4 41 c 16 c 0 0 0  rmp 1411.0
4 41 c 1e 6a 0 0 0  rmp 1946.5
4 41 c 15 e2 0 0 0  rmp 1400.5
4 41 c 11 f2 0 0 0  rmp 1148.5
4 41 c e 6c 0 0 0  rmp 923.0
4 41 c c 8e 0 0 0  rmp 803.5
4 41 c b 80 0 0 0  rmp 736.0
4 41 c b 2a 0 0 0  rmp 714.5
4 41 c b 1e 0 0 0  rmp 711.5
4 41 c b 14 0 0 0  rmp 709.0
4 41 c b e 0 0 0  rmp 707.5
4 41 c a ea 0 0 0  rmp 698.5
4 41 c a f2 0 0 0  rmp 700.5
4 41 c b 78 0 0 0  rmp 734.0
4 41 c 1d d2 0 0 0  rmp 1908.5
4 41 c 1c 58 0 0 0  rmp 1814.0
4 41 c 14 d6 0 0 0  rmp 1333.5
4 41 c f 9a 0 0 0  rmp 998.5
4 41 c d 14 0 0 0  rmp 837.0
4 41 c b dc 0 0 0  rmp 759.0
4 41 c b 74 0 0 0  rmp 733.0
4 41 c b b4 0 0 0  rmp 749.0
4 41 c 11 24 0 0 0  rmp 1097.0
4 41 c 18 a0 0 0 0  rmp 1576.0
4 41 c 12 96 0 0 0  rmp 1189.5
4 41 c f a 0 0 0  rmp 962.5
4 41 c c e0 0 0 0  rmp 824.0
4 41 c d 70 0 0 0  rmp 860.0
4 41 c 16 4c 0 0 0  rmp 1427.0
4 41 c 19 3e 0 0 0  rmp 1615.5
4 41 c 11 74 0 0 0  rmp 1117.0
4 41 c e a4 0 0 0  rmp 937.0
4 41 c c c0 0 0 0  rmp 816.0
4 41 c d 26 0 0 0  rmp 841.5
4 41 c 14 70 0 0 0  rmp 1308.0
4 41 c 10 d0 0 0 0  rmp 1076.0
4 41 c e 46 0 0 0  rmp 913.5
4 41 c c 70 0 0 0  rmp 796.0
4 41 c b c6 0 0 0  rmp 753.5
4 41 c b 56 0 0 0  rmp 725.5
4 41 c b 2a 0 0 0  rmp 714.5
4 41 c b 8 0 0 0  rmp 706.0
4 41 c b 24 0 0 0  rmp 713.0
4 41 c b e 0 0 0  rmp 707.5
4 41 c b 0 0 0 0  rmp 704.0
4 41 c a ea 0 0 0  rmp 698.5
4 41 c a f4 0 0 0  rmp 701.0
4 41 c b 10 0 0 0  rmp 708.0
4 41 c a f2 0 0 0  rmp 700.5
4 41 c a ec 0 0 0  rmp 699.0
4 41 c a ea 0 0 0  rmp 698.5
4 41 c a fc 0 0 0  rmp 703.0
4 41 c a ec 0 0 0  rmp 699.0
4 41 c b 6 0 0 0  rmp 705.5
4 41 c a e0 0 0 0  rmp 696.0
4 41 c a f8 0 0 0  rmp 702.0
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a ea 0 0 0  rmp 698.5
4 41 c a f0 0 0 0  rmp 700.0
4 41 c a e4 0 0 0  rmp 697.0
4 41 c a fa 0 0 0  rmp 702.5
4 41 c a e8 0 0 0  rmp 698.0
4 41 c a e8 0 0 0  rmp 698.0
4 41 c b 0 0 0 0  rmp 704.0
4 41 c a e8 0 0 0  rmp 698.0
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a e0 0 0 0  rmp 696.0
4 41 c b 4 0 0 0  rmp 705.0
4 41 c a e2 0 0 0  rmp 696.5
4 41 c a e4 0 0 0  rmp 697.0
4 41 c a e2 0 0 0  rmp 696.5
4 41 c a f8 0 0 0  rmp 702.0
4 41 c b 4 0 0 0  rmp 705.0
4 41 c a e0 0 0 0  rmp 696.0
4 41 c a e0 0 0 0  rmp 696.0
4 41 c b 74 0 0 0  rmp 733.0
4 41 c f ac 0 0 0  rmp 1003.0
4 41 c c d4 0 0 0  rmp 821.0
4 41 c b 74 0 0 0  rmp 733.0
4 41 c b 30 0 0 0  rmp 716.0
4 41 c b 58 0 0 0  rmp 726.0
4 41 c b 48 0 0 0  rmp 722.0
4 41 c b 1e 0 0 0  rmp 711.5
4 41 c b 18 0 0 0  rmp 710.0
4 41 c b 4 0 0 0  rmp 705.0
4 41 c b 14 0 0 0  rmp 709.0
4 41 c b a 0 0 0  rmp 706.5
4 41 c a f0 0 0 0  rmp 700.0
4 41 c b 4 0 0 0  rmp 705.0
4 41 c a ee 0 0 0  rmp 699.5
4 41 c b 12 0 0 0  rmp 708.5
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a f0 0 0 0  rmp 700.0
4 41 c a fa 0 0 0  rmp 702.5
4 41 c a f0 0 0 0  rmp 700.0
4 41 c a f4 0 0 0  rmp 701.0
4 41 c a fa 0 0 0  rmp 702.5
4 41 c a e8 0 0 0  rmp 698.0
4 41 c a e4 0 0 0  rmp 697.0
4 41 c a fa 0 0 0  rmp 702.5
4 41 c a e8 0 0 0  rmp 698.0
4 41 c a f0 0 0 0  rmp 700.0
4 41 c a de 0 0 0  rmp 695.5
4 41 c a ea 0 0 0  rmp 698.5
4 41 c a d2 0 0 0  rmp 692.5
4 41 c a f2 0 0 0  rmp 700.5
4 41 c a f6 0 0 0  rmp 701.5
4 41 c b 0 0 0 0  rmp 704.0
4 41 c a f0 0 0 0  rmp 700.0
4 41 c b 0 0 0 0  rmp 704.0
4 41 c a f4 0 0 0  rmp 701.0
4 41 c a fe 0 0 0  rmp 703.5
4 41 c b 4 0 0 0  rmp 705.0
4 41 c a fc 0 0 0  rmp 703.0
4 41 c a e4 0 0 0  rmp 697.0
4 41 c a ee 0 0 0  rmp 699.5
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a ea 0 0 0  rmp 698.5
4 41 c a f8 0 0 0  rmp 702.0
4 41 c a ee 0 0 0  rmp 699.5
4 41 c a ea 0 0 0  rmp 698.5
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a ec 0 0 0  rmp 699.0
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a f8 0 0 0  rmp 702.0
4 41 c a ea 0 0 0  rmp 698.5
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a fe 0 0 0  rmp 703.5
4 41 c a e2 0 0 0  rmp 696.5
4 41 c a e4 0 0 0  rmp 697.0
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a f2 0 0 0  rmp 700.5
4 41 c a dc 0 0 0  rmp 695.0
4 41 c b 6 0 0 0  rmp 705.5
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a ee 0 0 0  rmp 699.5
4 41 c a f4 0 0 0  rmp 701.0
4 41 c a e8 0 0 0  rmp 698.0
4 41 c a f6 0 0 0  rmp 701.5
4 41 c a fc 0 0 0  rmp 703.0
4 41 c a e0 0 0 0  rmp 696.0
4 41 c a fa 0 0 0  rmp 702.5
4 41 c a f0 0 0 0  rmp 700.0
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a f0 0 0 0  rmp 700.0
4 41 c a f0 0 0 0  rmp 700.0
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a ec 0 0 0  rmp 699.0
4 41 c a fa 0 0 0  rmp 702.5
